job_id,skill_match,role_relevance,domain_relevance,match_score,recommendation,matched_skills,missing_skills,match_reason,title,company,location,state,job_type,posted_date,salary,source,source_url
16947-966681960-S,100.0,92.0,64,93.2,Excellent Match,Data Science; Git; Machine Learning; Python,Artificial Intelligence; Cloud,You match most of the required technical skills. The job title is strongly related to AI or Machine Learning. The job has a strong Data/AI/ML technical focus. Matched skills: Data Science; Git; Machine Learning; Python. Skills to improve: Artificial Intelligence; Cloud.,Werkstudent für Scientific Computing & Machine Learning (d/m/w),Airbus Operations GmbH Werk Bremen,Bremen,BREMEN,PRAKTIKUM_TRAINEE,2026-08-27,KEINE_ANGABEN,Bundesagentur für Arbeit,
18349-46953_16_JB5236481-S,100.0,85.0,42,88.2,Strong Match,Data Analytics; Power BI; Python; SQL,Cloud,You match most of the required technical skills. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Power BI; Python; SQL. Skills to improve: Cloud.,Werkstudent Power BI & Data Analytics (w|m|d),ADAC SE,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-02,KEINE_ANGABEN,Bundesagentur für Arbeit,
13183-8122-KORIAN1-S,100.0,85.0,34,87.4,Strong Match,Data Analytics; Data Science; SQL,,You match most of the required technical skills. The job title is strongly related to Data Analytics. Matched skills: Data Analytics; Data Science; SQL.,Werkstudent (w/m/d) KI & Data Analytics,KORIAN Holding GmbH,München,BAYERN,PRAKTIKUM_TRAINEE,2026-07-18,KEINE_ANGABEN,Bundesagentur für Arbeit,
12462-1617420-1-S,75.0,85.0,62,77.7,Good Match,Data Analytics; Machine Learning; Python; SQL,Artificial Intelligence; PySpark,You have a strong portion of the required technical skills. The job title is strongly related to Data Analytics. The job has a strong Data/AI/ML technical focus. Matched skills: Data Analytics; Machine Learning; Python; SQL. Skills to improve: Artificial Intelligence; PySpark.,Werkstudent Data Analytics im Qualitätsmanagement für Digitale Dienste (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-13,KEINE_ANGABEN,Bundesagentur für Arbeit,
10000-1206481696-S,62.5,100.0,56,76.85,Good Match,Git; NumPy; Pandas; Python; SQL,Docker; FastAPI; R,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. The job contains some Data/AI/ML elements. Matched skills: Git; NumPy; Pandas; Python; SQL. Skills to improve: Docker; FastAPI; R.",Werkstudent / Praktikum – Data Scientist (m/w/d),quo data GmbH Qualitätsmanagement und Statistik,Dresden,SACHSEN,PRAKTIKUM_TRAINEE,2026-05-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003604533-S,75.0,85.0,48,76.3,Good Match,Data Analytics; Data Science; Machine Learning; Python; SQL,R,You have a strong portion of the required technical skills. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Data Science; Machine Learning; Python; SQL. Skills to improve: R.,Werkstudent Data Analytics & Predictive Maintenance (all genders),Syskron GmbH,Wackersdorf,BAYERN,ARBEIT,2026-08-26,KEINE_ANGABEN,Bundesagentur für Arbeit,
15794-471450_50394-1-S,75.0,85.0,42,75.7,Good Match,Data Analytics; Power BI; Python; SQL,R,You have a strong portion of the required technical skills. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Analytics; Power BI; Python; SQL. Skills to improve: R.,Praktikant / Werkstudent Audit - Center of Competence Data Analytics (m/w/d),Deloitte GmbH,Berlin,BERLIN,PRAKTIKUM_TRAINEE,2026-07-23,KEINE_ANGABEN,Bundesagentur für Arbeit,
14244-BB-440098-7878-1558-S,66.67,92.0,34,73.54,Good Match,Machine Learning; Python,Artificial Intelligence; Deep Learning,"You have several relevant technical skills, but there are gaps. The job title is strongly related to AI or Machine Learning. Matched skills: Machine Learning; Python. Skills to improve: Artificial Intelligence; Deep Learning.",Werkstudent Künstliche Intelligenz / AI Engineering (m/w/d),ARAG Krankenversicherungs-AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-08-21,STUNDENLOHN,Bundesagentur für Arbeit,
12462-1631645-1-S,60.0,95.0,48,72.8,Good Match,Data Science; Machine Learning; NumPy; Pandas; Power BI; Python; SQL,Cloud; Hive; Spark; Tableau; scikit-learn,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. The job contains some Data/AI/ML elements. Matched skills: Data Science; Machine Learning; NumPy; Pandas; Power BI; Python; SQL. Skills to improve: Cloud; Hive; Spark; Tableau; scikit-learn.",Werkstudent Data Science (w/m/x),BMW AG,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-10,KEINE_ANGABEN,Bundesagentur für Arbeit,
12288-4931147075-S,66.67,95.0,14,72.74,Good Match,Data Science; Machine Learning; Python,Predictive Analytics,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. Matched skills: Data Science; Machine Learning; Python. Skills to improve: Predictive Analytics.",Werkstudent (m/w/d) Mathematiker/Aktuar mit Schwerpunkt Bilanzprojektion und Data Science,SIGNAL IDUNA,Hamburg,HAMBURG,ARBEIT,2026-09-05,KEINE_ANGABEN,Bundesagentur für Arbeit,
10001-1003649773-S,66.67,95.0,14,72.74,Good Match,Data Science; Machine Learning; Python,Predictive Analytics,"You have several relevant technical skills, but there are gaps. The job title is directly aligned with Data Science. Matched skills: Data Science; Machine Learning; Python. Skills to improve: Predictive Analytics.",Werkstudent (m/w/d) Mathematiker/Aktuar mit Schwerpunkt Bilanzprojektion und Data Science,SIGNAL IDUNA Krankenversicherung a. G.,Hamburg,HAMBURG,PRAKTIKUM_TRAINEE,2026-09-03,KEINE_ANGABEN,Bundesagentur für Arbeit,
12608-1442843-28033-1-S,66.67,85.0,42,71.54,Good Match,Data Science; Power BI; Python,Tableau,"You have several relevant technical skills, but there are gaps. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Data Science; Power BI; Python. Skills to improve: Tableau.",Werkstudent BI & Analytics / Supply Chain Visibility,REWE Group,Köln,NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-26,KEINE_ANGABEN,Bundesagentur für Arbeit,
18349-47001_15_JB5239723-S,66.67,85.0,42,71.54,Good Match,Python; SQL,Cloud; Spark,"You have several relevant technical skills, but there are gaps. The job title is strongly related to Data Analytics. The job contains some Data/AI/ML elements. Matched skills: Python; SQL. Skills to improve: Cloud; Spark.",Werkstudent Analytics Engineer (w|m|d),ADAC SE,München,BAYERN,PRAKTIKUM_TRAINEE,2026-09-07,KEINE_ANGABEN,Bundesagentur für Arbeit,
14774-BB-563757-12683-547-S,100.0,50.0,14,71.4,Good Match,Data Science; SQL,Artificial Intelligence,You match most of the required technical skills. The job title is not directly aligned with your target role. Matched skills: Data Science; SQL. Skills to improve: Artificial Intelligence.,Werkstudent Datenbankentwicklung & Data Management (m/w/d),Deichmann SE,"Essen, Ruhr",NORDRHEIN_WESTFALEN,PRAKTIKUM_TRAINEE,2026-08-11,KEINE_ANGABEN,Bundesagentur für Arbeit,
