job_id,skill
12462-1631645-1-S,Python
12462-1631645-1-S,SQL
12462-1631645-1-S,Pandas
12462-1631645-1-S,NumPy
12462-1631645-1-S,scikit-learn
12462-1631645-1-S,Machine Learning
12462-1631645-1-S,Power BI
12462-1631645-1-S,Spark
12462-1631645-1-S,Data Science
12462-1631645-1-S,Tableau
12462-1631645-1-S,Hive
12462-1631645-1-S,Cloud
14244-BB-440097-7878-8419-S,Python
14244-BB-440097-7878-8419-S,Data Science
14244-BB-440097-7878-8419-S,Data Engineering
14244-BB-440097-7878-8419-S,Cloud
12951-ce2252c9-3017-457b--S,Python
12951-ce2252c9-3017-457b--S,Data Science
12951-ce2252c9-3017-457b--S,Data Engineering
12951-ce2252c9-3017-457b--S,Tableau
12951-ce2252c9-3017-457b--S,R
10001-1003649773-S,Python
10001-1003649773-S,Machine Learning
10001-1003649773-S,Data Science
10001-1003649773-S,Predictive Analytics
12288-4931147075-S,Python
12288-4931147075-S,Machine Learning
12288-4931147075-S,Data Science
12288-4931147075-S,Predictive Analytics
12462-1574143-1-S,Python
12462-1574143-1-S,SQL
12462-1574143-1-S,Pandas
12462-1574143-1-S,PySpark
12462-1574143-1-S,Data Science
12462-1574143-1-S,Data Engineering
12462-1574143-1-S,Big Data
10001-1003694422-S,Data Science
10001-1003694422-S,R
10001-1003694422-S,Git
12951-5647624e-84d5-4364--S,Python
12951-5647624e-84d5-4364--S,SQL
12951-5647624e-84d5-4364--S,Power BI
12951-5647624e-84d5-4364--S,Data Science
12951-5647624e-84d5-4364--S,Tableau
12951-5647624e-84d5-4364--S,Plotly
12951-5647624e-84d5-4364--S,Excel
10000-1206481696-S,Python
10000-1206481696-S,SQL
10000-1206481696-S,Pandas
10000-1206481696-S,NumPy
10000-1206481696-S,R
10000-1206481696-S,Git
10000-1206481696-S,Docker
10000-1206481696-S,FastAPI
10001-1003523149-S,Data Analytics
10001-1003523149-S,Azure
10001-1003523149-S,Data Governance
16604-969747-008-S,Data Science
16604-969747-008-S,Excel
13183-8122-KORIAN1-S,SQL
13183-8122-KORIAN1-S,Data Science
13183-8122-KORIAN1-S,Data Analytics
16752-r18191-S,Python
16752-r18191-S,SQL
16752-r18191-S,Pandas
16752-r18191-S,Machine Learning
16752-r18191-S,Artificial Intelligence
16752-r18191-S,Spark
16752-r18191-S,Data Science
16752-r18191-S,Data Engineering
16752-r18191-S,Git
16752-r18191-S,Docker
10001-1003610115-S,Python
10001-1003610115-S,SQL
10001-1003610115-S,Power BI
10001-1003610115-S,Data Science
10001-1003610115-S,Data Analytics
10001-1003610115-S,R
10001-1003610115-S,Data Governance
